업체명,사업자등록번호,주요공종,세부공종,보유자격,시공실적건수,최근3년평균평가점수,최근계약금액(만원),낙찰률(%),하자보수이행률(%),경영안정성등급,보유장비,특이사항,지역
한양건설,123-45-67890,건축,철근콘크리트/리모델링,종합건설업면허,45,92.5,150000,78.5,98.2,A,타워크레인2대/굴착기3대,대형 공공시설 시공 다수,서울/경기
대한토건,234-56-78901,토목,도로/교량/터널,토목건설업면허/특수공법인증,38,89.3,120000,82.1,96.5,A,항타기/TBM장비,교량 전문 시공사,전국
서울설비,345-67-89012,기계,냉난방/배관/소방,기계설비업면허/소방시설업면허,52,94.1,80000,75.3,99.1,B+,배관용접장비/소방시험장비,병원/클린룸 설비 전문,서울/경기
전력기술,456-78-90123,전기,수변전/전력배선/통신,전기공사업면허/정보통신업면허,41,91.7,95000,80.2,97.8,A,고압케이블포설장비/접지시험기,대규모 수변전 설비 전문,전국
그린조경,567-89-01234,조경,식재/조경시설물/옥상녹화,조경공사업면허,28,88.5,35000,85.7,95.3,B,식재장비/조경용중장비,친환경 조경 전문,수도권
미래건축,678-90-12345,건축,신축/증축/인테리어,건축공사업면허/실내건축업면허,33,90.8,110000,76.8,97.1,A-,타워크레인1대/콘크리트펌프카,사무실/상업시설 전문,서울
태양전기,789-01-23456,전기,태양광/ESS/전기차충전,신재생에너지전문기업인증,22,93.2,65000,71.5,98.5,B+,태양광설치장비/인버터시험기,신재생에너지 전문,전국
동방기계,890-12-34567,기계,승강기/에스컬레이터/주차설비,승강기설치업면허,36,87.9,72000,83.4,94.8,B,승강기설치장비/안전시험장비,승강기 유지보수 우수,수도권/충청
세화토건,901-23-45678,토목,상하수도/우수관로/지반개량,토목건설업면허,29,91.2,88000,79.6,96.9,A-,굴착기/쉴드TBM,지반개량 전문기술 보유,전국
한성종합건설,012-34-56789,건축,철골/커튼월/방수,종합건설업면허/방수전문업면허,55,93.8,200000,74.2,98.8,A+,철골가공설비/방수시험장비,초고층 빌딩 시공 실적,서울/경기
대명소방,111-22-33344,소방,스프링클러/소화설비/경보설비,소방시설업면허,31,90.5,42000,81.3,97.5,B+,소방시험장비/배관용접기,대형 건물 소방 전문,수도권
성진통신,222-33-44455,통신,네트워크/CCTV/방범,정보통신공사업면허,26,88.7,38000,84.9,95.8,B,광케이블포설장비/OTDR측정기,스마트빌딩 통신 전문,서울/경기
우리가스,333-44-55566,가스,도시가스배관/LNG설비,가스시설시공업면허,19,92.1,55000,77.8,99.3,A-,PE배관융착기/압력시험장비,도시가스 배관 전문,수도권
청하방수,444-55-66677,건축,방수/단열/도장,방수공사업면허/도장공사업면허,48,86.3,28000,88.5,93.7,B,방수시트시공장비/도장스프레이,옥상방수 전문 30년 경력,전국
삼성ENG,555-66-77788,기계,플랜트/HVAC/크린룸,기계설비업면허/에너지절약전문기업,15,95.2,310000,68.5,99.5,A+,클린룸공조장비/에너지진단장비,반도체 클린룸 시공 실적,전국
